Link,Judul,Harga,Deskripsi
https://www.airbnb.com/rooms/31363362?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Alam Sutera Suite Studio,$33,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/36815113?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Apartemen Akasa BSD Tower Kirana,$21,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/45820945?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Homey Villa near ICE BSD Serpong by ZAL Home,$107,10 guests · 4 bedrooms · 5 beds · 2 baths
https://www.airbnb.com/rooms/48929861?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Branz BSD 3 Bedroom Large Luxury Family Apartment,$82,6 guests · 3 bedrooms · 5 beds · 2 baths
https://www.airbnb.com/rooms/48929227?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Branz BSD 2 Bedroom Apartment Best Floor & View,$58,4 guests · 2 bedrooms · 3 beds · 2 baths
https://www.airbnb.com/rooms/31183761?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,"Bella Casa-Stylish Apt Casa De Parco, AEON&ICE BSD",$29,3 guests · Studio · 1 bed · 1.5 baths
https://www.airbnb.com/rooms/37066606?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Kasandra House,$138,7 guests · 3 bedrooms · 4 beds · 3 baths
https://www.airbnb.com/rooms/51974375?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Charming Room at Rooms at Lengkong Gudang Timur,$20,2 guests · 1 bedroom · 1 bed · 1 private bath
https://www.airbnb.com/rooms/49222915?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,Elegant House in Pondok Indah next to RSPI,$164,8 guests · 4 bedrooms · 4 beds · 3 baths
https://www.airbnb.com/rooms/34605632?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,Green Family friendly 3BR Batutapak G House Parung,$50,15 guests · 3 bedrooms · 4 beds · 2 baths
https://www.airbnb.com/rooms/42007640?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,"Nice Two Bedroom Brooklyn Apartment, Alam Sutera",$38,3 guests · 2 bedrooms · 2 beds · 1 bath
https://www.airbnb.com/rooms/36815113?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,Apartemen Akasa BSD Tower Kirana,$21,2 guests · Studio · 1 bed · 1 bath
